,ID,Kota_Kabupaten,Provinsi,Area,Regional,Jumlah_Kelurahan_Desa,PDRB,PDRB_Per_Kapita,Indeks_Pembangunan_Manusia,Jumlah_Penduduk,Luas_Wilayah,Dana_Alokasi_Umum,Pengeluaran_Riil_per_Kapita_ per_Tahun,Nilai_UMR,Jumlah_Penduduk_Miskin,Jumlah_Penduduk_Bekerja,Pengguna_Internet,Pemilik_Ponsel,Pengguna_Ponsel,Jumlah_Agen_Pulsa
453,454,Kab. Teluk Bintuni,Papua Barat,Area 4,Malpua,2/115,31392,487415,64.55,86830,20840.83,505009267,9974.0,3184225.0,19.22,30021.4332,37827,48251.0,56142.0,33.0
454,455,Kab. Raja Ampat,Papua Barat,Area 4,Malpua,4/117,2949,60811,63.89,63888,8034.44,647093633,8014.0,3184225.0,8.32,22092.8202,16841,32357.0,37044.0,13.0
455,456,Kab. Buol,Sulawesi Tengah,Area 4,Sulawesi,7/108,5885,36289,67.82,145001,4043.57,485229562,8079.0,2585674.0,22.93,79299.0,44347,59210.0,88504.0,40.0
456,457,Kab. Paser,Kalimantan Timur,Area 4,Kalimantan,5/139,48176,168509,72.04,275199,7730.88,384896323,10344.0,3014000.0,26.77,137737.0,137228,94492.0,137203.0,236.0
457,458,Kab. Penajam Paser Utara,Kalimantan Timur,Area 4,Kalimantan,24/30,9087,56475,71.41,178428,3333.06,277611967,11231.0,3363809.0,11.93,74946.0,103636,12239.0,103636.0,153.0
458,459,Kota Balikpapan,Kalimantan Timur,Area 4,Kalimantan,34/-,102389,156277,80.01,687291,527.0,437726788,14549.0,3063915.0,17.02,324635.0,478364,104523.0,478364.0,986.0
459,460,Kab. Seruyan,Kalimantan Tengah,Area 4,Kalimantan,3/029,8565,41601,67.58,162653,3827.0,567765658,9370.0,3193750.0,14.53,103243.0,78480,104778.0,120563.0,122.0
460,461,Kota Ambon,Maluku,Area 4,Malpua,20/030,14839,31003,80.84,347522,298.61,635403609,14166.0,4200279.0,22.15,218302.0,219769,98316.0,242105.0,278.0
461,462,Kota Bontang,Kalimantan Timur,Area 4,Kalimantan,15/-,58479,329050,80.02,178664,406.7,231143244,16278.0,3182706.0,7.91,86891.0,124543,33427.0,124543.0,208.0
462,463,Kab. Supiori,Papua,Area 4,Malpua,-/38,1006,48564,62.3,22294,678.32,417661447,5677.0,3516700.0,7.78,9276.0,5044,9288.0,11244.0,8.0
463,464,Kab. Tapin,Kalimantan Selatan,Area 4,Kalimantan,9/126,8372,43747,70.11,189222,2700.82,426224950,11841.0,2877448.0,5.9,94390.0,86210,114476.0,131866.0,131.0
464,465,Kota Banjar Baru,Kalimantan Selatan,Area 4,Kalimantan,20/-,9744,37088,79.1,253189,371.0,421090093,13675.0,2877448.0,10.75,115983.0,171044,67591.0,182739.0,426.0
465,466,Kota Banjarmasin,Kalimantan Selatan,Area 4,Kalimantan,52/-,33042,46630,77.1,656636,72.0,674930481,14306.0,2948576.0,31.31,319572.0,422717,201377.0,464327.0,645.0
466,467,Kab. Sorong,Papua Barat,Area 4,Malpua,26/226,11082,124617,65.74,118426,6544.23,502914153,7495.0,3184225.0,24.89,42643.7364,51881,70618.0,92208.0,46.0
467,468,Kab. Biak Numfor,Papua,Area 4,Malpua,14/254,5476,35932,72.19,134397,2602.0,544038318,9705.0,3516700.0,38.02,64959.0,46188,68314.0,81077.0,60.0
468,469,Kab. Luwu Timur,Sulawesi Selatan,Area 4,Sulawesi,3/124,20997,70066,73.22,296975,6944.88,512404165,12814.0,3103800.0,20.82,131634.0,106599,158721.0,227700.0,165.0
469,470,Kab. Mimika,Papua,Area 4,Malpua,19/133,54832,249588,74.19,312203,21633.0,563432699,11431.0,3516700.0,31.75,102942.0,155423,178997.0,206384.0,188.0
470,471,Kota Samarinda,Kalimantan Timur,Area 4,Kalimantan,59/-,68571,78567,80.11,826967,783.0,675500904,11728.0,3112156.0,41.92,428353.0,552545,620305.0,695398.0,974.0
471,472,Kab. Muna Barat,Sulawesi Tenggara,Area 4,Sulawesi,86,2589,18676,65.08,84337,1022.89,341651382,7485.0,1161283.0,11.32,31932.0,21067,38241.0,165550.5,118.0
472,473,Kab. Timor Tengah Selatan,Nusa Tenggara Timur,Area 5,Balnus,12/266,7938,16963,62.15,455644,3947.0,716929579,6861.0,1950000.0,128.98,331364.0,82211,144266.0,266874.0,103.0
473,474,Kab. Klungkung,Bali,Area 5,Balnus,6/53,9120,50927,71.73,206672,315.0,505586391,11376.0,2538000.0,8.76,101058.0,102428,121697.0,138759.0,186.0
474,475,Kab. Sikka,Nusa Tenggara Timur,Area 5,Balnus,13/147,5124,15992,65.11,322187,1731.9,590110914,8081.0,1950000.0,42.18,237911.0,100658,129837.0,249581.0,105.0
475,476,Kab. Sumbawa,Nusa Tenggara Barat,Area 5,Balnus,8/157,14811,32363,67.61,509987,6643.98,792884646,9146.0,2201613.0,62.88,230507.0,190068,282234.0,377080.0,312.0
476,477,Kab. Bangli,Bali,Area 5,Balnus,4/68,6999,30794,69.36,258468,490.71,538001454,11268.0,2494810.0,9.56,143650.0,111241,143816.0,163773.0,181.0
477,478,Kab. Buleleng,Bali,Area 5,Balnus,19/129,35509,53756,72.55,790786,1364.73,910488837,13463.0,2538000.0,35.25,362851.0,340285,448968.0,587225.0,503.0
478,479,Kab. Tabanan,Bali,Area 5,Balnus,-/133,23886,53590,76.17,461864,1013.88,763334805,14494.0,2625216.0,19.11,265435.0,293464,293464.0,335059.0,425.0
479,480,Kab. Gianyar,Bali,Area 5,Balnus,6/64,28581,55804,77.36,515578,368.0,652219599,14544.0,2627000.0,21.01,270591.0,298622,335372.0,389269.0,556.0
480,481,Kab. Karangasem,Bali,Area 5,Balnus,3/75,17107,41060,67.35,492636,839.54,716253373,10237.0,2555469.0,24.69,252869.0,183909,245805.0,341084.0,273.0
481,482,Kota Mataram,Nusa Tenggara Barat,Area 5,Balnus,50/-,19484,40032,78.91,429885,61.3,582765685,14968.0,2184485.0,41.8,244766.0,263220,271708.0,361709.0,453.0
482,483,Kab. Belu,Nusa Tenggara Timur,Area 5,Balnus,12/69,4481,20356,62.68,217720,1284.97,476169938,7479.0,1950000.0,34.18,156101.0,68944,89921.0,147608.0,97.0
483,484,Kab. Badung,Bali,Area 5,Balnus,16/46,62795,93692,81.6,548425,418.62,335170598,17503.0,2930092.0,13.75,367619.0,372994,394327.0,422515.0,1612.0
484,485,Kab. Lombok Timur,Nusa Tenggara Barat,Area 5,Balnus,15/239,20306,16913,66.3,1324213,1230.76,1091094297,9409.0,2184197.0,183.84,582812.0,499795,639742.0,966522.0,577.0
485,486,Kab. Jembrana,Bali,Area 5,Balnus,10/41,14162,50919,72.36,317298,841.8,525591005,11790.0,2557102.0,12.6,158203.0,148606,189634.0,241117.0,255.0
486,487,Kab. Alor,Nusa Tenggara Timur,Area 5,Balnus,17/158,3055,14860,61.33,211619,2864.6,572919255,6786.0,1950000.0,43.55,147051.0,59455,80247.0,124619.0,93.0
487,488,Kab. Manggarai Timur,Nusa Tenggara Timur,Area 5,Balnus,17/159,3212,11183,60.85,275350,2642.93,491172097,5818.0,1950000.0,76.69,196862.0,40802,75681.0,175749.0,47.0
488,489,Kab. Bima,Nusa Tenggara Barat,Area 5,Balnus,-/191,11645,23834,66.3,514339,3405.63,846199889,8468.0,2229880.0,71.32,248447.0,148628,248843.0,394507.0,183.0
489,490,Kota Denpasar,Bali,Area 5,Balnus,16/27,55676,58785,83.93,724287,127.78,623672157,19723.0,2770300.0,20.48,501143.0,571366,571366.0,621785.0,1451.0
490,491,Kab. Dompu,Nusa Tenggara Barat,Area 5,Balnus,9/27,7173,28433,67.84,236412,2391.54,545996418,8889.0,2187562.0,30.97,121614.0,75198,118224.0,172642.0,124.0
491,492,Kab. Ende,Nusa Tenggara Timur,Area 5,Balnus,23/255,6107,22294,67.04,270510,2046.5,599004483,9094.0,1950000.0,65.22,203648.0,86851,115576.0,202751.0,81.0
492,493,Kab. Manggarai,Nusa Tenggara Timur,Area 5,Balnus,26/145,4680,13828,64.54,313089,2096.44,561139653,7203.0,1950000.0,69.52,234012.0,81642,112070.0,232750.0,78.0
493,494,Kab. Sumba Barat,Nusa Tenggara Timur,Area 5,Balnus,11/63,2334,17998,63.53,144844,737.42,379392302,7321.0,1950000.0,36.95,88572.0,31819,42680.0,69418.0,43.0
494,495,Kab. Sumba Tengah,Nusa Tenggara Timur,Area 5,Balnus,-/65,1177,16168,61.53,85229,1868.74,333876062,6108.0,1950000.0,25.37,49396.0,14290,22687.0,41652.0,18.0
495,496,Kab. Flores Timur,Nusa Tenggara Timur,Area 5,Balnus,21/229,5252,20523,64.22,276643,1813.2,595654496,7631.0,1950000.0,27.89,186702.0,91049,123594.0,195790.0,94.0
496,497,Kab. Malaka,Nusa Tenggara Timur,Area 5,Balnus,-/127,2778,14475,60.21,183645,1160.63,430115689,5901.0,1950000.0,31.12,134158.0,41830,79016.0,133622.0,64.0
