ID;Kota_Kabupaten;Provinsi;Area;Regional;Jumlah_Kelurahan_Desa;PDRB;PDRB_Per_Kapita;Indeks_Pembangunan_Manusia;Jumlah_Penduduk;Luas_Wilayah;Dana_Alokasi_Umum;Pengeluaran_Riil_per_Kapita_ per_Tahun;Nilai_UMR;Jumlah_Penduduk_Miskin;Jumlah_Penduduk_Bekerja;Pengguna_Internet;Pemilik_Ponsel;Pengguna_Ponsel;Jumlah_Agen_Pulsa
168;Kab. Pandeglang;;Area 2;Jabo Outer;13/326;28324;23371;65;1271660;2746.89;1125384369;8572;2758909;120.44;481092;69118;584482;768914;606
169;Kota Jakarta Barat;DKI Jakarta;Area 2;Jabo Inner;56/-;473843;182956;81.38;2435638;129.54;0;2144621.63;4267349;110.9;1148244;484357;1715385;1938554;2658
170;Kab. Ciamis;Jawa Barat;Area 2;Jabar;7/258;31583;26425;70.49;1228042;1414.71;1124523808;9190;1880654.54;91.39;593039;532138;690013;910417;621
171;Kab. Lebak;Banten;Area 2;Jabo Outer;5/340;28918;22200;63.91;1387920;3426.56;1025617979;8690;2710654;120.83;596379;70817;593123;773063;622
172;Kota Cimahi;Jawa Barat;Area 2;Jabar;15/-;32226;52459;77.83;567373;39.27;542550698;11921;0;31.64;272553;390392;395077;449614;354
173;Kab. Bandung;Jawa Barat;Area 2;Jabar;10/270;124001;32846;72.39;3624917;1767.96;1991762404;10203;3139275.37;263.6;1688206;2031823;2065587;2491946;1883
174;Kota Serang;Banten;Area 2;Jabo Outer;66/-;31765;46130;72.16;691074;266.71;618641127;13212;3773940;42.24;292638;89492;409797;422331;536
175;Kota Bogor;Jawa Barat;Area 2;Jabar;68/-;46472;41788;76.11;1042043;118.5;769048963;11348;4169806.58;75.04;486867;689952;688036;764102;844
176;Kota Cirebon;;Area 2;Jabar;22/-;23457;73461;74.89;333537;37.36;548788411;11397;2219487.67;30.61;138667;200741;217464;272425;310
177;Kota Jakarta Utara;DKI Jakarta;Area 2;Jabo Inner;31/-;525173;289684;80.29;1780108;146.66;0;1995226.7;4267349;123.59;822076;1210851;1211341;1378947;2150
178;Kab. Serang;Banten;Area 2;Jabo Outer;-/326;76944;51010;66.7;1623757;1734.28;1034125411;10665;4152887;74.8;614320;678792;839571;997684;849
179;Kota Sukabumi;Jawa Barat;Area 2;Jabar;33/-;12384;37678;74.21;346559;48.25;474164097;10609;2530182.63;25.42;140827;197526;224840;252155;283
180;Kab. Karawang;Jawa Barat;Area 2;Jabar;12/297;230986;98128;70.66;2440212;1652.2;1216810516;11277;4594324;195.41;1013472;1320805;1343123;1652600;1566
181;Kab. Cirebon;Jawa Barat;Area 2;Jabar;12/412;49186;22430;68.75;2271748;984.52;1430715056;10212;2196416.09;247.94;955506;1076411;1255468;1563636;1031
182;Kab. Bandung Barat;Jawa Barat;Area 2;Jabar;-/165;47180;27755;68.08;1789463;1305.77;1026882842;8329;3145427.79;179.46;704266;904432;1019127;1177304;1011
183;Kab. Subang;Jawa Barat;Area 2;Jabar;8/245;39853;24973;68.95;1596447;1893.95;1203407054;10715;2965468;149.81;762065;701713;898726;1039959;942
184;Kota Tangerang Selatan;Banten;Area 2;Jabo Outer;54/-;82840;47394;81.36;1353323;147.19;564580206;15667;4168268;40.99;761851;990030;1065435;1065435;1654
185;Kota Banjar;Jawa Barat;Area 2;Jabar;9/16;4357;23797;71.7;200720;113.49;353432625;10329;1831884.83;11.16;88846;92974;116069;132645;140
186;Kab. Bogor;Jawa Barat;Area 2;Jabar;19/416;237113;39748;70.4;5428195;2710.62;1883157955;10323;4083670;465.67;2538637;3045702;3101377;3710319;3232
187;Kota Tangerang;Banten;Area 2;Jabo Outer;104/-;175238;78585;78.25;1896613;153.93;846130955;14484;4168268;118.22;1030255;1313774;1467736;1467736;1762
188;Kab. Purwakarta;Jawa Barat;Area 2;Jabar;9/183;67572;70176;70.82;996842;825.74;813567867;11372;4039067.66;80.17;406779;506767;589185;719170;675
189;Kota Depok;Jawa Barat;Area 2;Jabar;63/-;71042;29517;80.97;2057462;200.29;862665355;15262;4202105;60.43;1112358;1570114;1495904;1612789;1766
190;Kota Cilegon;Banten;Area 2;Jabo Outer;43/-;104249;238444;73.05;435130;175.5;599460814;13010;4246081;16.31;178699;257890;322909;322909;425
191;Kota Bekasi;Jawa Barat;Area 2;Jabar;56/-;98209;32694;81.5;2544803;206.61;1163901497;15755;4589708;134.01;1383287;1966515;1883277;2093130;2238
192;Kab. Tangerang;Banten;Area 2;Jabo Outer;28/246;141088;37121;71.92;3246746;1011.86;1126643872;12203;4168268;242.16;1596938;1815209;1970692;2192278;2340
193;Kab. Kepulauan Seribu;DKI Jakarta;Area 2;Jabo Inner;6/-;7969;327998;71.63;27496;8.7;0;1122234.55;4267349;3.63;9985;14095;14788;17697;40
194;Kab. Indramayu;Jawa Barat;Area 2;Jabar;8/309;80391;46510;67.29;1835561;2040.11;1307670691;9633;2297931.11;220.31;818449;901629;1023899;1333908;909
195;Kab. Bekasi;Jawa Barat;Area 2;Jabar;7/180;327730;87072;74.07;3114144;1224.88;1109084444;11155;4498961;186.3;1619175;1942766;1942197;2127886;2340
196;Kota Surabaya;Jawa Timur;Area 3;Jatim;154/-;580756;200524;82.23;2875441;350.54;1209468472;17157;4200479;145.67;1499094;1984881;626973;2084578;3117
197;Kab. Sidoarjo;Jawa Timur;Area 3;Jatim;31/322;204022;90697;80.29;2083928;634.38;1157958587;14168;4193581;127.05;1120482;444781;1462667;1619250;1636
198;Kota Semarang;Jawa Tengah;Area 3;Jateng;177/-;191547;105587;83.05;1654651;373.78;1194313031;15550;2715000;79.58;925963;1170767;1161548;1310122;1761
199;Kab. Pasuruan;Jawa Timur;Area 3;Jatim;24/341;145920;89665;68.6;1607096;1474.02;1120144764;9933;4190133;151.43;829988;139524;822733;942049;726
200;Kab. Gresik;Jawa Timur;Area 3;Jatim;26/330;139044;105907;76.11;1310188;1191.25;890343102;12845;4197030;164.05;633270;184574;801682;973506;807
201;Kab. Cilacap;Jawa Tengah;Area 3;Jateng;15/269;114194;66119;69.95;1945984;2124.47;1295279562;10639;2158327;198.6;807407;940906;157028;1077515;855
202;Kab. Kudus;Jawa Tengah;Area 3;Jateng;9/123;110514;126837;75;848157;425.15;764591304;11318;2218451.95;64.24;483983;482340;527535;625288;458
